expando-list-does-not-knock-footer-off-dammit,2010-11-19,
agit-parent-1.0,2011-06-11,204
agit-parent-1.1,2011-06-11,0
agit-parent-1.2,2011-06-12,1
agit-parent-1.3,2011-06-12,0
agit-parent-1.4,2011-06-12,0
agit-parent-1.5,2011-06-12,0
agit-parent-1.6,2011-06-13,1
agit-parent-1.7,2011-06-13,0
agit-parent-1.8,2011-06-16,3
agit-parent-1.9,2011-06-17,1
agit-parent-1.10,2011-06-17,0
agit-parent-1.11,2011-06-25,8
agit-parent-1.12,2011-07-05,10
agit-parent-1.13,2011-07-08,3
agit-parent-1.14-SNAPSHOT,2011-07-08,0
agit-parent-1.15,2011-07-08,0
agit-parent-1.16,2011-07-12,4
agit-parent-1.17,2011-07-12,0
agit-parent-1.19,2011-07-16,4
agit-parent-1.20,2011-07-29,13
agit-parent-1.21,2011-08-08,10
agit-parent-1.22,2011-08-08,0
agit-parent-1.23,2011-08-21,13
agit-parent-1.24,2011-08-22,1
agit-parent-1.25,2011-09-03,12
agit-parent-1.27,2012-01-17,136
agit-parent-1.28,2012-03-05,48
agit-parent-1.29,2012-05-24,80
agit-parent-1.30,2012-05-24,0
agit-parent-1.31,2012-06-12,19
agit-parent-1.32,2012-06-13,1
agit-parent-1.33,2012-06-13,0
agit-parent-1.34,2012-08-14,62
agit-parent-1.35,2013-02-01,171
agit-parent-1.36,2013-02-01,0
agit-parent-1.37,2013-03-02,29
agit-parent-1.38,2013-03-11,9
agit-parent-1.39,2013-12-22,286
Latest,2014-11-24,337
